ROLL_NO,REGISTRATION_NUMBER,GENDER,STRATUM,SCHOOL_NAT,SCHOOL_TYPE,DSBDA,CC,AI,WT,EM-3,ACADEMIC_PROGRAM,TOTAL_MARKS
2664,SB11201220341025,F,Stratum 3,PRIVATE,ACADEMIC,64,58,65,64,80,CHEMICAL ENGINEERING,331
2665,SB11201220341036,F,Stratum 3,PRIVATE,ACADEMIC,59,45,45,56,55,INDUSTRIAL ENGINEERING,260
2666,SB11201220341103,F,Stratum 3,PRIVATE,ACADEMIC,78,55,62,66,62,CHEMICAL ENGINEERING,323
2667,SB11201220341104,F,Stratum 3,PRIVATE,ACADEMIC,71,71,63,66,75,INDUSTRIAL ENGINEERING,346
2668,SB11201220341119,M,Stratum 4,PRIVATE,ACADEMIC,70,50,57,67,67,INDUSTRIAL ENGINEERING,311
2669,SB11201220341153,M,Stratum 4,PRIVATE,ACADEMIC,65,77,72,75,62,MECHANICAL ENGINEERING,351
2670,SB11201220341277,F,Stratum 3,PUBLIC,ACADEMIC,59,57,59,56,49,INDUSTRIAL ENGINEERING,280
2671,SB11201220341839,M,Stratum 3,PRIVATE,ACADEMIC,58,62,59,55,55,INDUSTRIAL ENGINEERING,289
2672,SB11201220341990,M,Stratum 3,PRIVATE,ACADEMIC,64,62,55,77,58,CIVIL ENGINEERING,316
2673,SB11201220342006,M,Stratum 4,PRIVATE,ACADEMIC,50,57,53,53,57,INDUSTRIAL ENGINEERING,270
2674,SB11201220342049,F,Stratum 3,PUBLIC,ACADEMIC,77,58,66,67,60,INDUSTRIAL ENGINEERING,328
2675,SB11201220342155,M,Stratum 3,PRIVATE,ACADEMIC,72,77,69,91,71,CIVIL ENGINEERING,380
2676,SB11201220342388,M,Stratum 2,PUBLIC,ACADEMIC,58,53,55,54,50,INDUSTRIAL ENGINEERING,270
2677,SB11201220342685,F,Stratum 1,PUBLIC,ACADEMIC,69,72,69,79,76,ELECTRONIC ENGINEERING,365
2678,SB11201220342807,M,Stratum 2,PUBLIC,ACADEMIC,62,54,59,72,59,ELECTRONIC ENGINEERING,306
2679,SB11201220342866,F,Stratum 4,PRIVATE,ACADEMIC,65,77,77,73,85,INDUSTRIAL ENGINEERING,377
2680,SB11201220342985,F,Stratum 2,PUBLIC,ACADEMIC,62,57,50,61,50,INDUSTRIAL ENGINEERING,280
2681,SB11201220343132,F,Stratum 2,PUBLIC,ACADEMIC,53,58,50,53,57,INDUSTRIAL ENGINEERING,271
2682,SB11201220343256,M,Stratum 2,PUBLIC,ACADEMIC,51,44,45,48,50,CIVIL ENGINEERING,238
2683,SB11201220343295,M,Stratum 2,PUBLIC,ACADEMIC,68,74,76,69,62,CHEMICAL ENGINEERING,349
2684,SB11201220343299,F,Stratum 2,PUBLIC,ACADEMIC,47,53,59,58,44,INDUSTRIAL ENGINEERING,261
2685,SB11201220343316,M,Stratum 2,PUBLIC,ACADEMIC,55,56,50,42,55,INDUSTRIAL ENGINEERING,258
2686,SB11201220343528,M,Stratum 2,PUBLIC,ACADEMIC,69,64,72,74,73,ELECTRONIC ENGINEERING,352
2687,SB11201220343560,M,Stratum 3,PRIVATE,ACADEMIC,51,46,55,40,42,INDUSTRIAL ENGINEERING,234
2688,SB11201220343730,F,Stratum 4,PRIVATE,ACADEMIC,64,64,83,77,71,CIVIL ENGINEERING,359
2689,SB11201220343745,F,Stratum 4,PRIVATE,ACADEMIC,66,70,76,72,73,CIVIL ENGINEERING,357
2690,SB11201220343803,F,Stratum 2,PRIVATE,ACADEMIC,48,58,59,59,55,CHEMICAL ENGINEERING,279
2691,SB11201220343888,M,Stratum 3,PRIVATE,ACADEMIC,77,56,57,71,58,INDUSTRIAL ENGINEERING,319
2692,SB11201220343917,M,Stratum 3,PRIVATE,ACADEMIC,83,100,81,83,58,ELECTRONIC ENGINEERING,405
2693,SB11201220343918,F,Stratum 3,PRIVATE,ACADEMIC,83,74,72,75,75,INDUSTRIAL ENGINEERING,379
2694,SB11201220343955,M,Stratum 3,PRIVATE,ACADEMIC,60,51,52,55,50,INDUSTRIAL ENGINEERING,268
2695,SB11201220343972,M,Stratum 3,PRIVATE,ACADEMIC,81,68,64,78,60,ELECTRONIC ENGINEERING,351
2696,SB11201220343974,M,Stratum 3,PRIVATE,ACADEMIC,66,70,81,100,78,INDUSTRIAL ENGINEERING,395
2697,SB11201220343976,F,Stratum 3,PRIVATE,ACADEMIC,87,100,83,91,78,INDUSTRIAL ENGINEERING,439
2698,SB11201220344030,M,Stratum 3,PRIVATE,ACADEMIC,66,47,48,68,68,ELECTRONIC ENGINEERING,297
2699,SB11201220344050,M,Stratum 3,PRIVATE,ACADEMIC,62,52,55,65,50,CIVIL ENGINEERING,284
2700,SB11201220344051,M,Stratum 3,PRIVATE,ACADEMIC,54,57,64,52,48,INDUSTRIAL ENGINEERING,275
2701,SB11201220344081,F,Stratum 3,PRIVATE,ACADEMIC,62,53,72,65,49,CHEMICAL ENGINEERING,301
2702,SB11201220344160,M,Stratum 3,PUBLIC,ACADEMIC,66,81,74,59,48,CIVIL ENGINEERING,328
2703,SB11201220344162,M,Stratum 2,PUBLIC,ACADEMIC,69,55,64,68,71,CIVIL ENGINEERING,327
2704,SB11201220344183,M,Stratum 3,PUBLIC,ACADEMIC,74,62,68,73,67,CHEMICAL ENGINEERING,344
2705,SB11201220344209,M,Stratum 3,PUBLIC,ACADEMIC,70,77,81,81,55,CHEMICAL ENGINEERING,364
2706,SB11201220344526,M,Stratum 2,PUBLIC,ACADEMIC,59,62,62,54,46,CIVIL ENGINEERING,283
2707,SB11201220344594,F,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,43,54,53,48,45,INDUSTRIAL ENGINEERING,243
2708,SB11201220344625,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,66,50,53,58,57,INDUSTRIAL ENGINEERING,284
2709,SB11201220344790,M,Stratum 3,PUBLIC,ACADEMIC,59,67,69,68,78,MECHANICAL ENGINEERING,341
2710,SB11201220344839,F,Stratum 3,PUBLIC,ACADEMIC,57,60,60,50,48,CIVIL ENGINEERING,275
2711,SB11201220344849,M,Stratum 2,PUBLIC,ACADEMIC,52,59,52,53,55,MECHANICAL ENGINEERING,271
2712,SB11201220345008,M,Stratum 3,PUBLIC,ACADEMIC,59,55,58,58,55,CIVIL ENGINEERING,285
2713,SB11201220345061,M,Stratum 3,PUBLIC,ACADEMIC,85,70,71,72,70,CIVIL ENGINEERING,368
2714,SB11201220345070,M,Stratum 3,PUBLIC,ACADEMIC,69,67,64,67,57,ELECTRONIC ENGINEERING,324
2715,SB11201220345185,F,Stratum 3,PRIVATE,ACADEMIC,53,47,51,51,58,INDUSTRIAL ENGINEERING,260
2716,SB11201220345276,M,Stratum 2,PRIVATE,ACADEMIC,62,85,71,73,58,ELECTRIC ENGINEERING,349
2717,SB11201220345297,M,Stratum 3,PRIVATE,ACADEMIC,74,60,53,69,76,INDUSTRIAL ENGINEERING,332
2718,SB11201220345376,F,Stratum 3,PRIVATE,ACADEMIC,49,53,55,47,55,INDUSTRIAL ENGINEERING,259
2719,SB11201220345395,F,Stratum 3,PRIVATE,ACADEMIC,50,62,60,71,71,CHEMICAL ENGINEERING,314
2720,SB11201220345399,F,Stratum 2,PRIVATE,ACADEMIC,50,52,53,46,53,INDUSTRIAL ENGINEERING,254
2721,SB11201220345402,M,Stratum 3,PRIVATE,ACADEMIC,64,58,53,65,67,INDUSTRIAL ENGINEERING,307
2722,SB11201220345414,F,Stratum 3,PRIVATE,ACADEMIC,55,52,53,51,54,INDUSTRIAL ENGINEERING,265
2723,SB11201220345452,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,57,53,58,54,62,INDUSTRIAL ENGINEERING,284
2724,SB11201220345720,F,Stratum 2,PRIVATE,ACADEMIC,65,64,66,63,53,PRODUCTION ENGINEERING,311
2725,SB11201220345845,M,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,57,67,71,77,57,CATASTRAL ENGINEERING AND GEODESY,329
2726,SB11201220345856,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,69,60,69,82,82,MECHANICAL ENGINEERING,362
2727,SB11201220345858,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,69,64,66,64,71,ELECTRIC ENGINEERING,334
2728,SB11201220346099,M,Stratum 4,PRIVATE,ACADEMIC,87,58,59,83,78,CIVIL ENGINEERING,365
2729,SB11201220346124,M,Stratum 3,PRIVATE,ACADEMIC,77,64,72,72,85,CHEMICAL ENGINEERING,370
2730,SB11201220346151,M,Stratum 3,PRIVATE,ACADEMIC,79,72,83,92,85,CHEMICAL ENGINEERING,411
2731,SB11201220346295,F,Stratum 4,PRIVATE,ACADEMIC,89,76,65,72,85,INDUSTRIAL ENGINEERING,387
2732,SB11201220346304,F,Stratum 4,PRIVATE,ACADEMIC,80,74,71,92,76,INDUSTRIAL ENGINEERING,393
2733,SB11201220346356,F,Stratum 5,PRIVATE,ACADEMIC,52,48,46,59,68,INDUSTRIAL ENGINEERING,273
2734,SB11201220346369,F,Stratum 3,PRIVATE,ACADEMIC,78,71,72,78,78,CIVIL ENGINEERING,377
2735,SB11201220346544,M,Stratum 2,PUBLIC,ACADEMIC,53,47,45,54,40,INDUSTRIAL ENGINEERING,239
2736,SB11201220346827,F,Stratum 2,PRIVATE,ACADEMIC,69,57,58,70,57,PRODUCTION ENGINEERING,311
2737,SB11201220346891,M,Stratum 3,PRIVATE,ACADEMIC,59,54,52,65,62,INDUSTRIAL ENGINEERING,292
2738,SB11201220346892,F,Stratum 3,PRIVATE,ACADEMIC,65,57,53,61,62,INDUSTRIAL ENGINEERING,298
2739,SB11201220347297,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,69,70,69,70,70,CHEMICAL ENGINEERING,348
2740,SB11201220347301,M,Stratum 3,PRIVATE,ACADEMIC,78,71,64,85,75,CHEMICAL ENGINEERING,373
2741,SB11201220347342,F,Stratum 2,PUBLIC,ACADEMIC,65,57,61,66,76,CHEMICAL ENGINEERING,325
2742,SB11201220347537,F,Stratum 2,PRIVATE,ACADEMIC,54,57,52,52,50,INDUSTRIAL ENGINEERING,265
2743,SB11201220347621,M,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,47,43,42,45,49,INDUSTRIAL ENGINEERING,226
2744,SB11201220347738,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,96,79,96,78,80,INDUSTRIAL ENGINEERING,429
2745,SB11201220347746,M,Stratum 4,PRIVATE,TECHNICAL/ACADEMIC,80,64,66,79,65,CATASTRAL ENGINEERING AND GEODESY,354
2746,SB11201220347749,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,70,67,71,71,73,INDUSTRIAL ENGINEERING,352
2747,SB11201220347751,F,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,60,60,61,58,57,ELECTRONIC ENGINEERING,296
2748,SB11201220347758,F,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,54,70,66,55,67,INDUSTRIAL ENGINEERING,312
2749,SB11201220347762,M,Stratum 4,PRIVATE,TECHNICAL/ACADEMIC,72,70,64,77,57,CIVIL ENGINEERING,340
2750,SB11201220347910,F,Stratum 2,PRIVATE,TECHNICAL,52,51,46,47,43,AERONAUTICAL ENGINEERING,239
2751,SB11201220348023,F,Stratum 3,PRIVATE,ACADEMIC,64,49,50,54,55,INDUSTRIAL ENGINEERING,272
2752,SB11201220348081,M,Stratum 3,PRIVATE,ACADEMIC,66,64,59,67,67,CHEMICAL ENGINEERING,323
2753,SB11201220348095,F,Stratum 2,PRIVATE,ACADEMIC,73,79,66,80,65,CHEMICAL ENGINEERING,363
2754,SB11201220348164,F,Stratum 3,PRIVATE,ACADEMIC,62,64,59,65,76,CHEMICAL ENGINEERING,326
2755,SB11201220348176,F,Stratum 3,PRIVATE,ACADEMIC,61,64,74,71,71,CHEMICAL ENGINEERING,341
2756,SB11201220348218,M,Stratum 2,PRIVATE,ACADEMIC,62,67,56,56,54,INDUSTRIAL ENGINEERING,295
2757,SB11201220348284,M,Stratum 2,PRIVATE,ACADEMIC,59,59,62,71,63,INDUSTRIAL ENGINEERING,314
2758,SB11201220348411,M,Stratum 2,PRIVATE,ACADEMIC,67,64,64,65,73,MECHANICAL ENGINEERING,333
2759,SB11201220348457,F,Stratum 2,PUBLIC,ACADEMIC,64,79,77,70,75,PRODUCTION ENGINEERING,365
2760,SB11201220348481,F,Stratum 2,PUBLIC,ACADEMIC,60,67,66,67,65,INDUSTRIAL ENGINEERING,325
2761,SB11201220348485,M,Stratum 2,PUBLIC,ACADEMIC,62,64,64,66,57,MECHANICAL ENGINEERING,313
2762,SB11201220348493,M,Stratum 3,PUBLIC,ACADEMIC,66,76,74,60,50,ELECTRIC ENGINEERING,326
2763,SB11201220348595,F,Stratum 2,PUBLIC,ACADEMIC,46,54,55,51,58,CHEMICAL ENGINEERING,264
2764,SB11201220348616,M,Stratum 2,PUBLIC,ACADEMIC,53,41,47,51,35,CIVIL ENGINEERING,227
2765,SB11201220348688,F,Stratum 3,PRIVATE,TECHNICAL,53,67,64,50,64,INDUSTRIAL ENGINEERING,298
2766,SB11201220348700,F,Stratum 3,PRIVATE,TECHNICAL,91,71,66,78,76,INDUSTRIAL ENGINEERING,382
2767,SB11201220348702,F,Stratum 3,PRIVATE,TECHNICAL,60,62,66,62,73,INDUSTRIAL ENGINEERING,323
2768,SB11201220348761,F,Stratum 2,PRIVATE,ACADEMIC,43,41,44,45,41,CIVIL ENGINEERING,214
2769,SB11201220348786,M,Stratum 2,PRIVATE,ACADEMIC,56,51,59,51,54,INDUSTRIAL ENGINEERING,271
2770,SB11201220348810,M,Stratum 2,PRIVATE,ACADEMIC,48,57,51,55,48,CIVIL ENGINEERING,259
2771,SB11201220348830,M,Stratum 3,PRIVATE,ACADEMIC,82,74,65,85,75,CHEMICAL ENGINEERING,381
2772,SB11201220348834,M,Stratum 3,PRIVATE,ACADEMIC,62,51,51,64,70,AUTOMATION ENGINEERING,298
2773,SB11201220348862,F,Stratum 4,PRIVATE,ACADEMIC,70,64,69,75,55,CIVIL ENGINEERING,333
2774,SB11201220348906,M,Stratum 3,PRIVATE,ACADEMIC,86,71,76,100,95,TOPOGRAPHIC ENGINEERY,428
2775,SB11201220348945,M,Stratum 3,PRIVATE,ACADEMIC,71,67,61,70,57,TOPOGRAPHIC ENGINEERY,326
2776,SB11201220348976,M,Stratum 3,PUBLIC,ACADEMIC,78,68,64,91,65,INDUSTRIAL ENGINEERING,366
2777,SB11201220349121,M,Stratum 2,PRIVATE,ACADEMIC,52,54,51,58,68,INDUSTRIAL ENGINEERING,283
2778,SB11201220349123,M,Stratum 3,PRIVATE,ACADEMIC,68,56,53,64,64,ELECTRONIC ENGINEERING,305
2779,SB11201220349197,F,Stratum 3,PUBLIC,ACADEMIC,54,62,57,68,45,INDUSTRIAL ENGINEERING,286
2780,SB11201220349299,M,Stratum 3,PUBLIC,ACADEMIC,74,100,83,81,78,CIVIL ENGINEERING,416
2781,SB11201220349383,M,Stratum 3,PUBLIC,ACADEMIC,77,60,57,67,57,MECHANICAL ENGINEERING,318
2782,SB11201220349404,M,Stratum 3,PUBLIC,ACADEMIC,77,70,81,87,70,INDUSTRIAL ENGINEERING,385
2783,SB11201220349415,F,Stratum 2,PUBLIC,ACADEMIC,69,60,62,65,71,MECHANICAL ENGINEERING,327
2784,SB11201220349422,M,Stratum 3,PUBLIC,ACADEMIC,56,72,64,63,49,INDUSTRIAL ENGINEERING,304
2785,SB11201220349462,F,Stratum 3,PUBLIC,ACADEMIC,52,62,65,54,52,INDUSTRIAL ENGINEERING,285
2786,SB11201220349487,M,Stratum 3,PRIVATE,ACADEMIC,59,62,55,55,57,CIVIL ENGINEERING,288
2787,SB11201220349883,M,Stratum 3,PUBLIC,ACADEMIC,53,58,53,57,42,CIVIL ENGINEERING,263
2788,SB11201220349905,M,Stratum 3,PUBLIC,ACADEMIC,53,52,60,63,50,MECHANICAL ENGINEERING,278
2789,SB11201220350054,M,Stratum 3,PRIVATE,ACADEMIC,52,41,48,48,58,INDUSTRIAL ENGINEERING,247
2790,SB11201220350095,M,Stratum 3,PRIVATE,ACADEMIC,57,64,62,70,65,INDUSTRIAL ENGINEERING,318
2791,SB11201220350153,F,Stratum 2,PRIVATE,ACADEMIC,49,54,53,47,54,CIVIL ENGINEERING,257
2792,SB11201220350183,M,Stratum 3,PUBLIC,ACADEMIC,53,49,59,55,60,MECHANICAL ENGINEERING,276
2793,SB11201220350311,F,Stratum 2,PUBLIC,ACADEMIC,66,74,71,62,58,PRODUCTION ENGINEERING,331
2794,SB11201220350325,M,Stratum 1,PUBLIC,ACADEMIC,74,57,62,71,59,PRODUCTION ENGINEERING,323
2795,SB11201220350329,M,Stratum 3,PUBLIC,ACADEMIC,62,77,66,59,68,INDUSTRIAL ENGINEERING,332
2796,SB11201220350471,F,Stratum 2,PUBLIC,ACADEMIC,58,62,61,59,49,ELECTRONIC ENGINEERING,289
2797,SB11201220350489,M,Stratum 3,PUBLIC,ACADEMIC,57,58,62,65,62,ELECTRIC ENGINEERING,304
2798,SB11201220350566,M,Stratum 2,PUBLIC,ACADEMIC,60,52,55,53,43,ELECTROMECHANICAL ENGINEERING,263
2799,SB11201220350658,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,55,62,66,65,65,MECHANICAL ENGINEERING,313
2800,SB11201220350924,M,Stratum 3,PUBLIC,ACADEMIC,54,53,57,54,52,INDUSTRIAL ENGINEERING,270
2801,SB11201220351596,M,Stratum 3,PUBLIC,ACADEMIC,64,58,53,64,65,CIVIL ENGINEERING,304
2802,SB11201220351669,M,Stratum 2,PUBLIC,ACADEMIC,71,64,66,68,70,INDUSTRIAL ENGINEERING,339
2803,SB11201220351691,F,Stratum 3,PUBLIC,ACADEMIC,55,62,62,61,65,CIVIL ENGINEERING,305
2804,SB11201220351787,M,Stratum 2,PUBLIC,ACADEMIC,62,47,44,47,48,INDUSTRIAL ENGINEERING,248
2805,SB11201220352046,M,Stratum 1,PUBLIC,ACADEMIC,60,74,72,74,64,CATASTRAL ENGINEERING AND GEODESY,344
2806,SB11201220352102,F,Stratum 4,PRIVATE,ACADEMIC,43,50,52,51,59,INDUSTRIAL ENGINEERING,255
2807,SB11201220352164,M,Stratum 2,PRIVATE,TECHNICAL,59,60,57,54,58,CIVIL ENGINEERING,288
2808,SB11201220352215,F,Stratum 4,PRIVATE,ACADEMIC,64,57,57,59,78,INDUSTRIAL ENGINEERING,315
2809,SB11201220352861,F,Stratum 2,PUBLIC,ACADEMIC,62,60,57,65,57,INDUSTRIAL ENGINEERING,301
2810,SB11201220353010,M,Stratum 2,PUBLIC,ACADEMIC,66,66,65,67,54,ELECTRIC ENGINEERING,318
2811,SB11201220353041,M,Stratum 2,PUBLIC,ACADEMIC,72,62,74,74,64,INDUSTRIAL ENGINEERING,346
2812,SB11201220353082,F,Stratum 2,PUBLIC,ACADEMIC,56,57,60,53,50,ELECTROMECHANICAL ENGINEERING,276
2813,SB11201220353284,M,Stratum 3,PRIVATE,ACADEMIC,62,60,64,55,73,TOPOGRAPHIC ENGINEERY,314
2814,SB11201220353350,M,Stratum 3,PRIVATE,ACADEMIC,59,74,74,71,80,ELECTRONIC ENGINEERING,358
2815,SB11201220353566,F,Stratum 2,PRIVATE,ACADEMIC,47,54,57,39,60,MECHANICAL ENGINEERING,257
2816,SB11201220353572,M,Stratum 2,PRIVATE,ACADEMIC,51,58,56,53,78,CIVIL ENGINEERING,296
2817,SB11201220353658,M,Stratum 4,PRIVATE,ACADEMIC,100,74,81,92,82,ELECTRONIC ENGINEERING,429
2818,SB11201220353662,F,Stratum 3,PRIVATE,ACADEMIC,100,79,83,100,78,CIVIL ENGINEERING,440
2819,SB11201220353712,M,Stratum 2,PRIVATE,ACADEMIC,62,52,50,46,45,INDUSTRIAL ENGINEERING,255
2820,SB11201220353931,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,62,77,64,59,76,CATASTRAL ENGINEERING AND GEODESY,338
2821,SB11201220353993,F,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,76,64,64,71,80,ELECTRIC ENGINEERING,355
2822,SB11201220354323,M,Stratum 2,PUBLIC,ACADEMIC,69,70,72,79,59,ELECTRONIC ENGINEERING,349
2823,SB11201220354797,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,53,62,60,51,50,CIVIL ENGINEERING,276
2824,SB11201220354951,M,Stratum 4,PRIVATE,ACADEMIC,86,85,66,81,82,INDUSTRIAL ENGINEERING,400
2825,SB11201220354956,M,Stratum 6,PRIVATE,ACADEMIC,89,75,78,73,88,INDUSTRIAL ENGINEERING,403
2826,SB11201220355025,M,Stratum 2,PRIVATE,ACADEMIC,62,56,55,62,58,INDUSTRIAL ENGINEERING,293
2827,SB11201220355030,M,Stratum 2,PRIVATE,ACADEMIC,75,62,62,62,59,CIVIL ENGINEERING,320
2828,SB11201220355225,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,74,62,64,66,46,INDUSTRIAL ENGINEERING,312
2829,SB11201220355308,M,Stratum 3,PRIVATE,ACADEMIC,50,52,48,48,40,INDUSTRIAL ENGINEERING,238
2830,SB11201220355310,F,Stratum 3,PRIVATE,ACADEMIC,66,70,76,74,67,CHEMICAL ENGINEERING,353
2831,SB11201220355331,F,Stratum 2,PRIVATE,ACADEMIC,72,48,53,61,68,CHEMICAL ENGINEERING,302
2832,SB11201220355506,M,Stratum 3,PRIVATE,ACADEMIC,59,43,52,45,57,INDUSTRIAL ENGINEERING,256
2833,SB11201220355616,M,Stratum 3,PRIVATE,ACADEMIC,68,74,77,67,53,CATASTRAL ENGINEERING AND GEODESY,339
2834,SB11201220355630,M,Stratum 3,PRIVATE,ACADEMIC,59,52,53,53,46,INDUSTRIAL ENGINEERING,263
2835,SB11201220355668,M,Stratum 4,PRIVATE,ACADEMIC,74,68,64,85,78,INDUSTRIAL ENGINEERING,369
2836,SB11201220355669,F,Stratum 4,PRIVATE,ACADEMIC,61,64,71,77,73,CHEMICAL ENGINEERING,346
2837,SB11201220355679,F,Stratum 3,PRIVATE,ACADEMIC,68,79,72,67,85,INDUSTRIAL ENGINEERING,371
2838,SB11201220355693,F,Stratum 4,PRIVATE,ACADEMIC,92,62,69,80,76,CHEMICAL ENGINEERING,379
2839,SB11201220355984,M,Stratum 4,PRIVATE,ACADEMIC,67,85,76,73,78,CIVIL ENGINEERING,379
2840,SB11201220356050,M,Stratum 2,PRIVATE,TECHNICAL,57,60,62,53,73,MECHANICAL ENGINEERING,305
2841,SB11201220356085,M,Stratum 2,PRIVATE,TECHNICAL,62,62,61,75,62,CIVIL ENGINEERING,322
2842,SB11201220356192,M,Stratum 3,PRIVATE,ACADEMIC,74,60,57,67,70,CIVIL ENGINEERING,328
2843,SB11201220356234,F,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,78,59,61,75,62,TOPOGRAPHIC ENGINEERY,335
2844,SB11201220356307,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,64,64,72,75,60,CATASTRAL ENGINEERING AND GEODESY,335
2845,SB11201220356317,F,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,72,52,55,65,46,INDUSTRIAL ENGINEERING,290
2846,SB11201220356364,M,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,53,50,40,58,40,INDUSTRIAL ENGINEERING,241
2847,SB11201220356368,M,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,64,67,60,59,57,INDUSTRIAL ENGINEERING,307
2848,SB11201220356401,M,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,57,46,61,57,64,MECHANICAL ENGINEERING,285
2849,SB11201220356445,M,Stratum 1,PRIVATE,TECHNICAL/ACADEMIC,61,55,62,64,53,AERONAUTICAL ENGINEERING,295
2850,SB11201220356488,M,Stratum 2,PUBLIC,ACADEMIC,100,62,68,80,78,CHEMICAL ENGINEERING,388
2851,SB11201220356693,F,Stratum 1,PUBLIC,ACADEMIC,47,50,46,41,45,AERONAUTICAL ENGINEERING,229
2852,SB11201220356771,F,Stratum 3,PRIVATE,ACADEMIC,62,51,43,59,52,CHEMICAL ENGINEERING,267
2853,SB11201220357208,F,Stratum 2,PUBLIC,ACADEMIC,42,49,47,48,48,INDUSTRIAL ENGINEERING,234
2854,SB11201220357661,F,Stratum 3,PRIVATE,ACADEMIC,57,56,55,53,68,CHEMICAL ENGINEERING,289
2855,SB11201220357721,M,Stratum 3,PUBLIC,ACADEMIC,66,74,69,68,67,CIVIL ENGINEERING,344
2856,SB11201220357960,M,Stratum 3,PRIVATE,ACADEMIC,72,58,55,71,65,ELECTRONIC ENGINEERING,321
2857,SB11201220357980,F,Stratum 3,PRIVATE,ACADEMIC,65,62,83,71,67,CATASTRAL ENGINEERING AND GEODESY,348
2858,SB11201220358072,F,Stratum 3,PRIVATE,ACADEMIC,52,47,48,54,58,INDUSTRIAL ENGINEERING,259
2859,SB11201220358076,M,Stratum 3,PRIVATE,ACADEMIC,62,57,55,58,48,INDUSTRIAL ENGINEERING,280
2860,SB11201220358548,F,Stratum 3,PRIVATE,ACADEMIC,66,51,55,65,53,INDUSTRIAL ENGINEERING,290
2861,SB11201220358624,F,Stratum 2,PUBLIC,ACADEMIC,62,57,60,68,73,INDUSTRIAL ENGINEERING,320
2862,SB11201220358675,F,Stratum 3,PRIVATE,ACADEMIC,59,62,58,50,49,INDUSTRIAL ENGINEERING,278
2863,SB11201220358989,M,Stratum 2,PRIVATE,ACADEMIC,56,53,52,58,71,INDUSTRIAL ENGINEERING,290
2864,SB11201220359015,M,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,57,54,53,51,55,INDUSTRIAL ENGINEERING,270
2865,SB11201220359057,F,Stratum 2,PRIVATE,ACADEMIC,43,52,55,50,73,INDUSTRIAL ENGINEERING,273
2866,SB11201220359141,M,Stratum 2,PUBLIC,ACADEMIC,55,57,53,53,53,CIVIL ENGINEERING,271
2867,SB11201220359217,F,Stratum 2,PUBLIC,ACADEMIC,58,44,52,63,48,INDUSTRIAL ENGINEERING,265
2868,SB11201220359290,F,Stratum 3,PUBLIC,ACADEMIC,54,64,64,51,60,INDUSTRIAL ENGINEERING,293
2869,SB11201220359374,F,Stratum 2,PUBLIC,ACADEMIC,54,45,50,56,52,INDUSTRIAL ENGINEERING,257
2870,SB11201220359589,M,Stratum 2,PRIVATE,ACADEMIC,55,48,55,45,42,CIVIL ENGINEERING,245
2871,SB11201220359713,M,Stratum 2,PRIVATE,ACADEMIC,56,47,44,52,41,MECHANICAL ENGINEERING,240
2872,SB11201220359748,F,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,59,64,64,71,54,INDUSTRIAL ENGINEERING,312
2873,SB11201220359963,F,Stratum 3,PRIVATE,ACADEMIC,55,56,53,57,62,CIVIL ENGINEERING,283
2874,SB11201220360232,M,Stratum 2,PRIVATE,ACADEMIC,65,68,64,61,42,MECHATRONICS ENGINEERING,300
2875,SB11201220360251,M,Stratum 2,PRIVATE,ACADEMIC,62,52,57,65,49,INDUSTRIAL ENGINEERING,285
2876,SB11201220360332,F,Stratum 4,PRIVATE,ACADEMIC,77,79,69,65,52,CIVIL ENGINEERING,342
2877,SB11201220360371,F,Stratum 5,PRIVATE,ACADEMIC,57,60,53,56,64,INDUSTRIAL ENGINEERING,290
2878,SB11201220360381,F,Stratum 3,PRIVATE,ACADEMIC,74,68,71,68,78,ELECTRONIC ENGINEERING,359
2879,SB11201220360785,M,Stratum 2,PUBLIC,ACADEMIC,58,53,66,52,45,INDUSTRIAL ENGINEERING,274
2880,SB11201220360895,F,Stratum 3,PRIVATE,ACADEMIC,52,58,65,52,78,CIVIL ENGINEERING,305
